"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","26","700","2199312494592","40030208","29446144","43968","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","4.03125","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3076","Microsoft.Win32.SafeHandles.SafeProcessHandle","700","2192",".","199290","Screenshot (17).png ?- Photos","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","43968","43968","29446144","29446144","472224","472224","29790208","29790208","40431616","40431616","290222080","2199313477632","True","Normal","29446144","29446144","00:00:02.5312500","ApplicationFrameHost","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:38:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.0312500","00:00:01.5000000","289239040","2199312494592","False",,,,"40030208","40030208",,
"browser_broker","26","578","2199200276480","24956928","8433664","35360","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","1.046875","11.00.16299.15 (WinBuild.160101.0800)","11.00.16299.15","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"4636","Microsoft.Win32.SafeHandles.SafeProcessHandle","578","12676",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35360","35360","8433664","8433664","279408","279408","9056256","9056256","32129024","32129024","187326464","2199210582016","True","Normal","8433664","8433664","00:00:00.6562500","browser_broker","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 12:04:02 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0468750","00:00:00.3906250","177020928","2199200276480","False",,,,"24956928","24956928",,
"CcmExec","0","1547","312676352","60948480","59269120","57168",,,,,,,,"Process","8",,,,,,"1547","6596",".","0","",,,,,"57168","57168","59269120","59269120","415088","415088","98893824","98893824","167317504","167317504","428863488","428863488",,,"59269120","59269120",,"CcmExec",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"312676352","312676352","False",,,,"60948480","60948480",,
"ccSvcHst","0","3036","707809280","102789120","278106112","137880",,,,,,,,"Process","8",,,,,,"3036","3976",".","0","",,,,,"137880","137880","278106112","278106112","534632","534632","479739904","479739904","374079488","374079488","858923008","858923008",,,"278106112","278106112",,"ccSvcHst",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"707809280","707809280","False",,,,"102789120","102789120",,
"ccSvcHst","26","549","178200576","7733248","8171520","41776","C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.0.3897.1101.105\Bin\ccSvcHst.exe","Symantec Corporation","4.671875","13.3.1.5","13.3.1.5","Symantec Service Framework","Symantec Security Technologies","Process","8",,"False",,"3624","Microsoft.Win32.SafeHandles.SafeProcessHandle","549","8048",".","0","","System.Diagnostics.ProcessModule (ccSvcHst.exe)","3145728","1048576","System.Diagnostics.ProcessModuleCollection","41776","41776","8171520","8171520","296440","296440","8826880","8826880","24289280","24289280","180961280","180961280","True","Normal","8171520","8171520","00:00:02.2343750","ccSvcHst","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:10:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.6718750","00:00:02.4375000","178200576","178200576","False",,,,"7733248","7733248",,
"chrome","26","431","477310976","33570816","32497664","37640","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","1.96875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"3144","Microsoft.Win32.SafeHandles.SafeProcessHandle","431","1044",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37640","37640","32497664","32497664","589408","589408","46198784","46198784","94121984","94121984","518627328","518627328","True","Idle","32497664","32497664","00:00:00.5156250","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:42:23 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.9687500","00:00:01.4531250","477310976","477310976","False",,,,"33570816","33570816",,
"chrome","26","407","470245376","36687872","57995264","45120","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","474.25","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"3104","Microsoft.Win32.SafeHandles.SafeProcessHandle","407","6064",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45120","45120","57995264","57995264","407544","407544","108228608","108228608","130031616","130031616","492400640","492400640","True","Idle","57995264","57995264","00:00:32.4375000","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:12:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:07:54.2500000","00:07:21.8125000","470245376","470245376","False",,,,"36687872","36687872",,
"chrome","26","329","348692480","30539776","27545600","31656","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","3","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"2872","Microsoft.Win32.SafeHandles.SafeProcessHandle","329","7860",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31656","31656","27545600","27545600","375064","375064","28680192","28680192","45764608","45764608","355512320","355512320","True","Idle","27545600","27545600","00:00:00.4218750","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:44:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03","00:00:02.5781250","348692480","348692480","False",,,,"30539776","30539776",,
"chrome","26","323","345612288","27213824","23175168","30160","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","1.140625","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"2848","Microsoft.Win32.SafeHandles.SafeProcessHandle","323","11324",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30160","30160","23175168","23175168","375064","375064","25292800","25292800","41484288","41484288","355840000","355840000","True","Idle","23175168","23175168","00:00:00.4687500","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:44:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1406250","00:00:00.6718750","345612288","345612288","False",,,,"27213824","27213824",,
"chrome","26","274","194756608","8658944","3665920","16768","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","0.421875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"3712","Microsoft.Win32.SafeHandles.SafeProcessHandle","274","11672",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16768","16768","3665920","3665920","178592","178592","3821568","3821568","9883648","9883648","197382144","197382144","True","Normal","3665920","3665920","00:00:00.3281250","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:11:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0937500","194756608","194756608","False",,,,"8658944","8658944",,
